date,item_name,category,day_of_week,is_holiday,days_to_payday,is_long_weekend,precipitation_mm,temp_max_c,weather_severity_alert,department_meeting_flag,leave_rate_percentage,macro_dietary_period,recurring_meatless_day,nonveg_abstention_index,fasting_population_est,special_menu_flag,cost_per_portion,shortage_penalty,target_demand
2024-01-01,Chicken Dum Biryani,Non_Veg_Mains,0,0,1,0,9.03,27.59,0,0,0.04,None,0,0.15,0.0,0,70,100,0
2024-01-02,Chicken Dum Biryani,Non_Veg_Mains,1,0,0,0,0.61,25.97,0,0,0.06,None,1,0.25,0.0,0,70,100,0
2024-01-03,Chicken Dum Biryani,Non_Veg_Mains,2,0,29,0,4.61,19.35,0,0,0.09,None,0,0.05,0.0,0,70,100,112
2024-01-04,Chicken Dum Biryani,Non_Veg_Mains,3,0,28,0,1.74,23.83,0,0,0.08,None,1,0.2,0.0,0,70,100,0
2024-01-05,Chicken Dum Biryani,Non_Veg_Mains,4,0,27,0,0.61,27.95,0,0,0.05,None,0,0.05,0.0,0,70,100,0
2024-01-06,Chicken Dum Biryani,Non_Veg_Mains,5,0,26,0,1.32,22.12,0,0,0.09,None,1,0.3,0.0,0,70,100,0
2024-01-07,Chicken Dum Biryani,Non_Veg_Mains,6,0,25,0,0.23,28.73,0,0,0.04,None,0,0.02,0.0,0,70,100,119
2024-01-08,Chicken Dum Biryani,Non_Veg_Mains,0,0,24,0,3.04,20.22,0,1,0.08,None,0,0.15,0.0,0,70,100,0
2024-01-09,Chicken Dum Biryani,Non_Veg_Mains,1,0,23,0,1.67,31.26,0,0,0.03,None,1,0.25,0.0,0,70,100,0
2024-01-10,Chicken Dum Biryani,Non_Veg_Mains,2,0,22,0,0.86,30.91,0,0,0.03,None,0,0.05,0.0,0,70,100,124
2024-01-11,Chicken Dum Biryani,Non_Veg_Mains,3,0,21,0,0.62,25.39,0,1,0.14,None,1,0.2,0.0,0,70,100,0
2024-01-12,Chicken Dum Biryani,Non_Veg_Mains,4,0,20,0,5.91,19.15,0,0,0.09,None,0,0.05,0.0,0,70,100,0
2024-01-13,Chicken Dum Biryani,Non_Veg_Mains,5,0,19,0,1.17,32.54,0,0,0.15,None,1,0.3,0.0,0,70,100,0
